Time:                    RO:
0.017                        6.886066179482946E12
0.018000000000000002                        7.529593950132247E12
0.019                        8.559503661665666E12
0.0                        8.568969556120241E12
0.001                        8.496808953175182E12
0.002                        8.30788429431785E12
0.003                        8.460645183857035E12
0.004                        8.613775273306438E12
0.0                        8.5647380268647705E12
0.001                        8.436228889885262E12
0.0                        8.347334596878602E12
0.001                        8.330734120832843E12
0.0                        8.226256784891169E12
0.001                        8.180709672360221E12
0.0                        7.977604313544737E12
0.001                        7.960706012510489E12
0.0                        7.90373981356796E12
0.001                        7.843039657673557E12
0.0                        7.69155352157962E12
0.001                        7.659506084683623E12
0.0                        7.678138149794778E12
0.001                        7.6426289294309375E12
0.0                        7.704217618042782E12
0.001                        7.584218590993697E12
0.0                        7.480909691410511E12
0.001                        7.42495875096916E12
0.0                        7.381243768300296E12
0.001                        7.301715301086445E12
0.0                        7.211474393652793E12
0.001                        7.151202460043197E12
0.0                        7.171582903904178E12
0.001                        7.238651856554472E12
0.0                        5.047609915115897E10
0.001                        1.2302735700011557E11
0.002                        1.959719531674878E11
0.003                        2.94533338417279E11
0.004                        3.048925611338718E11
0.005                        4.386597526733321E11
0.006                        6.876371194599E11
0.007                        9.391775693255669E11
0.008                        1.6583272288905652E12
0.009000000000000001                        2.0291609197739846E12
0.0                        2.0590884037763792E12
0.001                        2.0622173013958904E12
0.002                        2.24539843183318E12
0.003                        2.508340718745301E12
0.004                        2.8624410330927847E12
0.005                        3.076011352074459E12
0.006                        3.1025333716095996E12
0.007                        3.493865449577685E12
0.008                        4.1532557454411147E12
0.009000000000000001                        4.568472283177895E12
0.0                        4.648343050127169E12
0.001                        4.6709273010537E12
0.002                        4.724203120953347E12
0.003                        4.754246492938721E12
0.004                        5.053141885909548E12
0.005                        5.512360280340864E12
0.006                        5.953422887362385E12
0.007                        6.525319813648052E12
0.008                        6.61851764223198E12
0.009000000000000001                        7.432793864045586E12
0.0                        7.359862113535075E12
0.001                        7.309499451147272E12
0.002                        7.495593122476856E12
0.003                        7.601354454376913E12
0.004                        7.585250278932781E12
0.005                        7.856820484498793E12
0.006                        7.781964219691393E12
0.007                        7.743513192831114E12
0.008                        7.935428580275515E12
0.009000000000000001                        8.025530341924714E12
0.0                        7.98169000444471E12
0.001                        7.9882826234808E12
0.002                        7.851050159386399E12
0.003                        7.985500127958965E12
0.004                        8.063417114515553E12
0.005                        8.282816748675366E12
0.006                        8.221751824015944E12
0.007                        8.845366188228193E12
0.008                        8.643581553862895E12
0.009000000000000001                        9.23158729212754E12
0.0                        9.27316312313985E12
0.0                        9.305682527323258E12
0.0                        9.144216646735754E12
0.0                        9.030976168696646E12
0.0                        4.908923526395359E10
0.001                        1.2451827595673772E11
0.002                        1.3237561843491528E11
0.003                        3.1749672318162805E11
0.004                        5.61165167853814E11
0.005                        9.611735273280682E11
0.006                        1.2047455514257031E12
0.007                        1.5901188838869954E12
0.008                        1.6438517379374597E12
0.009000000000000001                        1.962550323512576E12
0.0                        1.9661454789256062E12
0.001                        2.036538095655335E12
0.002                        2.1900925574828901E12
0.003                        2.419221950841186E12
0.004                        2.4708847941717944E12
0.005                        2.519236565008035E12
0.006                        3.067683569666661E12
0.007                        3.6787298386917134E12
0.008                        3.9405226726242925E12
0.009000000000000001                        4.703825025693912E12
0.0                        4.750592438020357E12
0.001                        4.756881492796878E12
0.002                        4.836041852538335E12
0.003                        5.013489507317872E12
0.004                        5.128895703771421E12
0.0                        5.131457653560217E12
0.001                        5.208483631582716E12
0.002                        5.392030211379338E12
0.003                        5.715045278988097E12
0.004                        6.002430888690715E12
0.0                        6.040878259625132E12
0.001                        6.183357275428969E12
0.002                        6.396316590407423E12
0.003                        6.709642852595095E12
0.004                        6.768190975544208E12
0.0                        6.820227686789452E12
0.001                        6.855388213133702E12
0.002                        7.030038753371787E12
0.003                        7.175520060332596E12
0.004                        7.424978390930912E12
0.0                        7.337891858983239E12
0.001                        7.388613770815734E12
0.002                        7.40253652485294E12
0.003                        7.47074586631146E12
0.004                        7.555117319569393E12
0.0                        8.150930408571503E10
0.001                        1.2102055496200299E11
0.002                        2.6583345462772937E11
0.003                        5.79594254657715E11
0.004                        6.712744960475685E11
0.005                        8.921340475269974E11
0.006                        1.0147696816623474E12
0.007                        1.4071123230163933E12
0.008                        1.9992813390654995E12
0.009000000000000001                        2.1194333956337363E12
0.01                        2.279030732319841E12
0.011                        3.2341941490750386E12
0.012                        4.2642855991814756E12
0.013000000000000001                        5.039015712501744E12
0.014                        5.248112045621307E12
0.0                        5.276145076805088E12
0.001                        5.300682597207675E12
0.002                        5.503113295293386E12
0.003                        5.546908298526E12
0.004                        5.941667814944541E12
0.005                        6.349017667986979E12
0.006                        6.588377489726274E12
0.007                        6.698768975709885E12
0.008                        6.918379442087445E12
0.009000000000000001                        6.950997263579807E12
0.01                        7.004673078281339E12
0.011                        7.059160197983834E12
0.012                        7.474300731152582E12
0.013000000000000001                        7.67449989282023E12
0.014                        7.909499029249386E12
0.0                        7.924807298929039E12
0.001                        7.949856884852236E12
0.0                        7.858983687402974E12
0.001                        7.7857066329285E12
0.0                        7.7257472097501875E12
0.001                        7.659592111283397E12
0.0                        7.688325681317529E12
0.001                        7.706562470849272E12
0.0                        7.731397875928292E12
0.001                        7.7033943741308955E12
0.0                        7.606816628976253E12
0.001                        7.651509132059975E12
0.0                        7.498862361608811E12
0.001                        7.506825870726281E12
0.0                        7.5182387271311E12
0.001                        7.530093131638591E12
0.0                        7.422340617203976E12
0.001                        7.450463290093875E12
0.0                        7.365316095737062E12
0.001                        7.311423078803601E12
0.0                        7.274132798691423E12
0.001                        7.185291091133908E12
0.0                        7.035978145384584E12
0.001                        7.131212460281313E12
0.0                        6.966441499833783E12
0.001                        6.949216722701874E12
0.0                        7.003058035425933E12
0.001                        6.994981307797699E12
0.0                        8.509404010460217E10
0.001                        2.27920131642804E11
0.002                        4.5283142183699994E11
0.003                        5.910302805908105E11
0.004                        8.40627188555761E11
0.005                        1.194885839778081E12
0.006                        1.239048075611454E12
0.007                        1.5582264291730305E12
0.008                        2.0838330255904534E12
0.009000000000000001                        2.7162659326494604E12
0.0                        2.8017400117053345E12
0.001                        2.9655359468526855E12
0.002                        3.0696170356601855E12
0.003                        3.231194485032213E12
0.004                        3.527775688381273E12
0.005                        3.960030285971309E12
0.006                        4.3253106364261855E12
0.007                        4.662513446443576E12
0.008                        5.145101393674715E12
0.009000000000000001                        5.866054423687384E12
0.0                        5.876249620416119E12
0.001                        5.994933148893338E12
0.002                        6.110671895416309E12
0.003                        6.135762006089418E12
0.004                        6.347256856887748E12
0.005                        6.41297948524828E12
0.006                        6.497187843956579E12
0.007                        6.855180744943467E12
0.008                        7.022612421053927E12
0.009000000000000001                        7.665376108621582E12
0.0                        7.707894236214523E12
0.001                        7.547394243059011E12
0.002                        7.555730791416813E12
0.003                        7.665876943900786E12
0.004                        7.890938838644049E12
0.005                        8.149439528511524E12
0.006                        8.387414442923466E12
0.007                        8.722511337163325E12
0.008                        9.132992313017922E12
0.009000000000000001                        9.550720172803318E12
0.0                        5.601119358344781E10
0.001                        1.1580497625194547E11
0.002                        2.14406750847563E11
0.003                        5.219115206359885E11
0.004                        7.725379391529042E11
0.005                        9.8765040857672E11
0.006                        1.0087412213845596E12
0.007                        1.1837077521738767E12
0.008                        1.1905834374225962E12
0.009000000000000001                        1.4151622117900154E12
0.0                        1.4926847314197717E12
0.001                        1.529906613955884E12
0.002                        1.5912720650536892E12
0.003                        1.8356944064725474E12
0.004                        2.0890038750414404E12
0.005                        2.564041898080094E12
0.006                        2.8569056604862905E12
0.007                        3.165454920174918E12
0.008                        3.221547050536712E12
0.009000000000000001                        3.2725430960621343E12
0.0                        3.3024029034355664E12
0.001                        3.374138944544907E12
0.002                        3.4397527734573975E12
0.003                        3.5795067604201904E12
0.004                        3.6799466680226074E12
0.005                        4.066896126854836E12
0.006                        4.3572128183382983E12
0.007                        4.933593451435916E12
0.008                        5.275079506891912E12
0.009000000000000001                        5.929994619871421E12
0.0                        5.966839998167445E12
0.001                        6.039986635351957E12
0.002                        6.166668083083509E12
0.003                        6.255244911410427E12
0.004                        6.640392664854046E12
0.005                        7.035233269916225E12
0.006                        7.416987462703856E12
0.007                        7.505439436464087E12
0.008                        8.054996550082071E12
0.009000000000000001                        8.1655220564466455E12
0.0                        8.023589392595935E12
0.0                        8.052282654942615E12
0.0                        8.069625211721949E12
0.0                        7.938698529316771E12
0.0                        7.820362901780165E12
0.0                        3.652057206807901E9
0.001                        1.2437336514519942E11
0.002                        2.568505555289832E11
0.003                        3.4634716392105084E11
0.004                        3.812991475597775E11
0.005                        5.1450360439359766E11
0.006                        1.066851510091534E12
0.007                        1.2922414603880144E12
0.008                        1.550006266056081E12
0.009000000000000001                        1.5637988240563728E12
0.0                        1.6299135687050483E12
0.001                        1.676166505091648E12
0.002                        1.7107455051064116E12
0.003                        2.021657162700518E12
0.004                        2.263617976780253E12
0.005                        2.618122808399882E12
0.006                        3.1486637433217754E12
0.007                        3.355527327325928E12
0.008                        3.9569287700455405E12
0.009000000000000001                        4.4758858303607295E12
0.0                        4.558751281413014E12
0.001                        4.685650870535534E12
0.002                        4.705423479140754E12
0.003                        4.805035288797392E12
0.004                        4.91577406761678E12
0.0                        4.975564711424485E12
0.001                        5.000789097865531E12
0.002                        5.057865212068788E12
0.003                        5.26097160247312E12
0.004                        5.323240301580408E12
0.0                        5.345916204151423E12
0.001                        5.494677175006151E12
0.002                        5.675573779191022E12
0.003                        5.687747581391428E12
0.004                        5.825625037758305E12
0.0                        5.901297458267957E12
0.001                        5.915501860965819E12
0.002                        6.056899264570523E12
0.003                        6.210072256475064E12
0.004                        6.598419946296522E12
0.0                        6.62557917179002E12
0.001                        6.645558273115711E12
0.002                        6.770514757634834E12
0.003                        7.097406424925894E12
0.004                        7.402429939018111E12
0.0                        7.330114491940793E12
0.0                        7.40500374791515E12
0.0                        7.317552779267482E12
0.0                        7.293686883921658E12
0.0                        7.258858381822052E12
0.0                        7.214156981634659E12
0.0                        5.290231171680807E10
0.001                        7.47502576943536E10
0.002                        2.1654928547508316E11
0.003                        5.202803800875272E11
0.004                        6.898160471879602E11
0.005                        1.020531453550072E12
0.006                        1.267311668356896E12
0.007                        1.458341313137266E12
0.008                        2.0679204240909758E12
0.009000000000000001                        2.073944305183747E12
0.01                        2.0974576205487908E12
0.011                        2.641210580544416E12
0.012                        3.006388447258298E12
0.013000000000000001                        3.185261863715267E12
0.014                        4.276830450383738E12
0.0                        4.3309510651291157E12
0.001                        4.495605392240144E12
0.002                        4.654036910732847E12
0.003                        4.745385793151853E12
0.004                        4.872986547573599E12
0.005                        5.225837397448614E12
0.006                        5.555451853674284E12
0.007                        5.699508623324312E12
0.008                        6.044833603227923E12
0.009000000000000001                        6.729758235799599E12
0.0                        6.775350130863701E12
0.001                        6.94100375705823E12
0.002                        6.997498117764337E12
0.003                        7.154314170833249E12
0.004                        7.397427578518807E12
0.0                        7.393618391227595E12
0.001                        7.338814681750021E12
0.0                        7.26075844828102E12
0.001                        7.300358333872273E12
0.0                        7.25318153695398E12
0.001                        7.265433527352318E12
0.0                        7.309098830016313E12
0.001                        7.255007101590713E12
0.0                        7.179128568107169E12
0.001                        7.119397239486804E12
0.0                        5.534365296858575E10
0.001                        1.7987349544583133E11
0.002                        3.025407675220058E11
0.003                        6.18344833254262E11
0.004                        7.36764668237612E11
0.005                        9.718020903082175E11
0.006                        1.105492232733867E12
0.007                        1.4692636034178784E12
0.008                        1.7319509914664932E12
0.009000000000000001                        2.4114053249767954E12
0.01                        2.7054711810534937E12
0.011                        3.476572122438626E12
0.012                        4.525477670397239E12
0.013000000000000001                        5.651386192655635E12
0.014                        6.710393207808628E12
0.015                        7.063135397876805E12
0.016                        7.557220931696613E12
0.017                        8.777882745416136E12
0.018000000000000002                        8.811980841587518E12
0.019                        9.651312343953518E12
0.0                        9.48006236304736E12
0.0                        9.536322791228453E12
0.0                        2.0314293890438713E10
0.001                        1.706541196051512E11
0.002                        2.963812253269751E11
0.003                        4.019454314159382E11
0.004                        4.7486066675134064E11
0.005                        8.400299013356719E11
0.006                        1.3106001110053645E12
0.007                        1.6821936282334785E12
0.008                        2.4276247350254854E12
0.009000000000000001                        2.5410508131804414E12
0.01                        3.4035695717009307E12
0.011                        3.476755739421136E12
0.012                        3.685140092628688E12
0.013000000000000001                        3.878233309965907E12
0.014                        4.0115246048275234E12
0.015                        4.936340461255021E12
0.016                        5.641743847537503E12
0.017                        5.815921010831207E12
0.018000000000000002                        6.936691953803424E12
0.019                        7.338782731556436E12
0.0                        7.30323212589867E12
0.0                        7.218958996101303E12
0.0                        7.1303590495349795E12
0.0                        7.175563540317555E12
